营销日期,主打品类,人群类型,营销数量,转化买家数,转化率,营销内容,,,
20180605,百货,7加购，3搜索，1浏览,12364,216,1.75%,"服饰满129减30，更有跨店买3免1,618惊喜不断，尖货限时抢>> t.suning.cn/t2cW3i",,,
20180605,百货,7加购，3搜索，1浏览,29085,320,1.10%,运动装备满399减200！阿迪跑鞋劲爆价199元！更多大牌戳>> t.suning.cn/Ol8F1k,,,
20180605,百货,领券未用,2209,4,0.18%,马克华菲校园专享90元立减神券，T恤78元底价限量，只给校园的你> t.suning.cn/woiSJ1,,,
20180605,百货,30浏览，周期购,7566,3,0.04%,马克华菲校园专享90元立减神券，T恤78元底价限量，只给校园的你> t.suning.cn/RVlKDh,,,
20180605,百货,百货实时加购,5729,326,5.69%,小主，您购物车中的宝贝别忘了哦，阿迪爆款跑鞋秒杀499元，立戳>> t.suning.cn/jCDlCp,,,
20180606,百货,7加购，3搜索，1浏览,16190,278,1.72%,618满129减30，美邦T恤秒杀39元，提前领200元神券，戳>> t.suning.cn/gEFbSz,,,
20180606,百货,15加购，3搜索，1浏览,18702,259,1.38%,拒绝只买1家，服饰跨店买三免一，更享满129减30，点此抢购>> t.suning.cn/n4kIL5,,,
20180606,百货,实时加购,11134,52,0.47%,马克华菲校园专享90元立减神券，T恤78元底价限量，只给校园的你>  t.suning.cn/uaPFbf,,,
20180606,百货,实时加购,6735,369,5.48%,亲的订单尚未付款，为确保心爱的宝贝早日启程抵达，尽早付款哦~ t.suning.cn/ORfUpu,,,
20180606,百货,实时加购,30,8,26.67%,您的海澜之家满269减120大额券即将失效，上海澜之家，做型格男神> t.suning.cn/zOzKvu,,,
20180601,冰箱,15天加购,"44,007 ","1,129 ",2.57%,你的洗衣机小宝贝在购物车内好无聊，快带回家！满额减1500&电机10年保障→ t.suning.cn/aNNRjk,,,
20180601,冰箱,15天浏览搜索未购,"97,160 ","1,263 ",1.30%,你的冰箱小宝贝在购物车内好无聊，快带回家！满额减1500&压缩机10年保障→ t.suning.cn/aFt0Kt ,,,
20180604,冰箱,7天加购,23550,174,0.74%,你的冰箱小宝贝在购物车内好无聊，快带回家！领券最高减千&压缩机10年保障→ t.suning.cn/ER3OTn,,,
20180605,冰箱,3天浏览搜索冰箱,18951,204,1.08%,冰箱领券减千元，健康饮食领鲜享~品质对开门仅2899元！享压缩机十年保障→ t.suning.cn/fgcegw,,,
20180605,冰箱,7天加购冰箱,2651,64,2.41%,咦？冰箱宝宝来看过您，快到购物车找回Ta吧！对开门仅2899，压缩机十年保→ t.suning.cn/B5ikIt,,,
20180606,冰箱,冰箱加购30天,15407,60,0.39%,鲜爽冰点价，领券减千！多门冰箱2699&压缩机十年保，快把购物车好货带回家→ t.suning.cn/u4MH9x,,,
20180606,冰箱,冰箱访问15天,24622,152,0.62%,冰箱领券减千元，健康饮食领鲜享~品质多门仅2699元！享压缩机十年保障→ t.suning.cn/ahweqq,,,
20180606,冰箱,"冰箱访问90天	",28568,41,0.14%,鲜享夏季，品质冰箱领券减千元~变频多门仅2699元，享压缩机十年保障→ t.suning.cn/3a1qeg,,,
20180606,冰箱,冰箱30天浏览搜索,14493,37,0.26%, 冰箱领券减千元，健康饮食领鲜享~品质多门仅2599元！享压缩机十年保障→ t.suning.cn/Apwgkq,,,
20180601,冰箱洗衣机,30天浏览搜索,"53,478 ",68 ,0.13%,冰洗开门红，最高减1500&送吸尘器！品质对开门2498，变频滚筒1599→ t.suning.cn/f0gIx4,,,
20180601,冰箱洗衣机,实时加购,"12,623 ","2,107 ",16.69%,选你所爱！购物车内的冰箱洗衣机等您Pick回家~品质C位家电，尊享十年保障→ t.suning.cn/ZVvMBd ,,,
20180603,冰箱洗衣机,实时加购,4887,456,9.33%,放价速度太快，购物车的冰箱洗衣机喊你带Ta下车！品质好家电，尊享十年保障→ t.suning.cn/IhabEb,,,
20180604,冰箱洗衣机,实时加购,4841,339,7.00%,选你所爱！购物车内的冰箱洗衣机等您Pick回家~品质C位家电，尊享十年保障→ t.suning.cn/vOJ9hu,,,
20180606,冰箱洗衣机,冰洗北京大区浏览30天,8693,20,0.23%,冰箱洗衣机领券减千，变频8KG滚筒仅1599，多门冰箱2699元起→ t.suning.cn/UvaFbz,,,
